DUNS,SIC1,LOB,SIC1_DESC,SIC2,SIC2_DESC,SIC3,SIC3_DESC,SIC4,SIC4_DESC,SIC5,SIC5_DESC,SIC6,SIC6_DESC,ACD_IND,CHANGE_IND,POI_NAME,FRAN_CD,FRAN_DESC,STREET_ADDRESS,HOUSE_NUMBER,STREET_PREFIX,STREETNAME,STREETTYPE,STREETSUFFIX,STREETLANG,COUNTRY_NAME,CITY,STATE,POSTALCODE,ADMINAREA,FOODTYPE,CHAINID,PHONE,LATITUDE,LONGITUDE,GEO_ACCURACY,NAIC1,NAIC1_DESC,NAIC2,NAIC2_DESC,NAIC3,NAIC3_DESC,NAIC4,NAIC4_DESC,NAIC5,NAIC5_DESC,NAIC6,NAIC6_DESC,STATUS,SUBSID,HIER,DIAS,TSTYLE1,FRAN_CD1,FRAN_DESC1,TSTYLE2,FRAN_CD2,FRAN_DESC2,TSTYLE3,FRAN_CD3,FRAN_DESC3,TSTYLE4,FRAN_CD4,FRAN_DESC4,TSTYLE5,FRAN_CD5,FRAN_DESC5,GLOBAL_ULT,ULT_NAME,GLOBAL_PAR,PAR_NAME,SALES,EMPS_HERE,SQT_FOOTAGE,RPT_DATE,REC_CLASS,COTTAGE,DOM_ULT,TRDSTYL120,MARKET_IND,ADDR_2, 
317112647,51480000,FRESH FRUITS AND VEGETABLES,FRESH FRUITS AND VEGETABLES,,,,,,,,,,,A,9,HETTI JELAK,,,FREUDENBERGSTR. 41-57,,,,,,,GERMANY,BOCHUM,,44809,NORDRHEIN-WESTFALEN,,,,+00.000000,-000.000000,N,424480,FRESH FRUIT AND VEGETABLE MERC,,,,,,,,,,,0,0,00,,,,,,,,,,,,,,,,,317112647,HETTI JELAK,317112647,HETTI JELAK,000000000249758,000000001,00000000,020615,,,000000000,,,, 
551347263,86210000,PROFESSIONAL ORGANIZATIONS,PROFESSIONAL ORGANIZATIONS,,,,,,,,,,,A,9,WASSER- UND ABWASSERVERBAND BAD SALZUNGEN,,,KISSELER STR. 33,,,,,,,GERMANY,SCHWEINA,,36448,THUERINGEN,,,,+00.000000,-000.000000,D,813920,PROFESSIONAL ORGANIZATIONS,,,,,,,,,,,2,0,01,013943497,,,,,,,,,,,,,,,,332332329,WASSER- UND ABWASSERVERBAND BAD SALZUNGEN,332332329,WASSER- UND ABWASSERVERBAND BAD SALZUNGEN,000000000000000,000000000,00000000,991103,,,332332329,,,, 
324108380,59930000,TOBACCO STORES AND STANDS,TOBACCO STORES AND STANDS,,,,,,,,,,,A,9,HARALD CLEVER,,,HORNSCHE STR. 6,,,,,,,GERMANY,DETMOLD,,32756,NORDRHEIN-WESTFALEN,,,,+00.000000,-000.000000,N,453991,TOBACCO STORES,,,,,,,,,,,0,0,00,,,,,,,,,,,,,,,,,324108380,HARALD CLEVER,324108380,HARALD CLEVER,000000000186597,000000001,00000000,020703,,,000000000,,,, 
498061365,20840000,"WINES, BRANDY, AND BRANDY SPIRITS, NSK","WINES, BRANDY, AND BRANDY SPIRITS",,,,,,,,,,,A,9,"WEINGUT HILDEGARDISHOF, HANS METZLER",,,OBERGASSE 5,,,,,,,GERMANY,BERMERSHEIM VOR DER HšHE,,55234,RHEINLAND-PFALZ,,,673142999,+49.778950,+008.097941,D,312130,WINERIES,,,,,,,,,,,0,0,00,,WEINGUT HILDEGARDISHOF,,,,,,,,,,,,,,,498061365,"WEINGUT HILDEGARDISHOF, HANS METZLER",498061365,"WEINGUT HILDEGARDISHOF, HANS METZLER",000000000000000,000000004,00000000,100305,,,000000000,WEINGUT HILDEGARDISHOF,M,, 
333908812,17310000,"ELECTRICAL WORK, NSK",ELECTRICAL WORK,57220200,ELECTRIC HOUSEHOLD APPLIANCES,,,,,,,,,A,9,EBERHARD NAKAT,,,HAMBURGER STR. 22A,,,,,,,GERMANY,L†TJENSEE,,22952,SCHLESWIG-HOLSTEIN,,,41547175,+53.656557,+010.368284,S,238210,ELECTRICAL CONTRACTORS,443111,HOUSEHOLD APPLIANCE STORES,,,,,,,,,0,0,00,,ELEKTRO NAKAT,,,,,,,,,,,,,,,333908812,EBERHARD NAKAT,333908812,EBERHARD NAKAT,000000001768320,000000010,00000000,100917,,,000000000,ELEKTRO NAKAT,M,, 
330691663,73380000,"SECRETARIAL AND COURT REPORTING, NSK",SECRETARIAL AND COURT REPORTING,,,,,,,,,,,A,9,PIA ZIEGLER,,,AM LEUTZMANNSHOF 19,,,,,,,GERMANY,SCHWABACH,,91126,BAYERN,,,9116312927,+00.000000,-000.000000,N,561492,COURT REPORTING AND STENOTYPE,,,,,,,,,,,0,0,00,,,,,,,,,,,,,,,,,330691663,PIA ZIEGLER,330691663,PIA ZIEGLER,000000000110266,000000001,00000000,071212,,,000000000,,M,, 
341019422,80110000,"OFFICES AND CLINICS OF MEDICAL DOCTORS, N",OFFICES AND CLINICS OF MEDICAL DOCTORS,,,,,,,,,,,A,9,DR. MED. DENT. ANKE NEUBAUER,,,ALTENBURGER STR. 4,,,,,,,GERMANY,KAYNA,,06724,SACHSEN-ANHALT,,,3442651141,+50.993705,+012.238395,D,621111,OFFICES OF PHYSICIANS (EXCEPT,,,,,,,,,,,0,0,00,,,,,,,,,,,,,,,,,341019422,DR. MED. DENT. ANKE NEUBAUER,341019422,DR. MED. DENT. ANKE NEUBAUER,000000000334058,000000003,00000000,080903,,,000000000,,,, 
340138404,65310000,REAL ESTATE AGENTS AND MANAGERS,REAL ESTATE AGENTS AND MANAGERS,,,,,,,,,,,A,9,HORST HENGST,,,SEDANSTR. 56,,,,,,,GERMANY,HANNOVER,,30161,NIEDERSACHSEN,,,,+52.380995,+009.747798,D,531210,OFFICES OF REAL ESTATE AGENTS,,,,,,,,,,,0,0,00,,,,,,,,,,,,,,,,,340138404,HORST HENGST,340138404,HORST HENGST,000000000163145,000000001,00000000,090603,,,000000000,,M,, 
316927300,17710000,CONCRETE WORK,CONCRETE WORK,76992209,PUMPS AND PUMPING EQUIPMENT REPAIR,,,,,,,,,A,9,ANTON STREITENBERGER,,,SIEMENSSTR. 16A,,,,,,,GERMANY,NEU-ANSPACH,,61267,HESSEN,,,60818619,+50.308498,+008.508412,S,238110,POURED CONCRETE FOUNDATION AND,811219,OTHER ELECTRONIC AND PRECISION,,,,,,,,,0,0,00,,BETONPUMPENDIENST ANTON STREIT,,,,,,,,,,,,,,,316927300,ANTON STREITENBERGER,316927300,ANTON STREITENBERGER,000000000067550,000000001,00000000,100204,,,000000000,BETONPUMPENDIENST ANTON STREITENBERGER,M,, 
366839843,15410000,INDUSTRIAL BUILDINGS AND WAREHOUSES,INDUSTRIAL BUILDINGS AND WAREHOUSES,,,,,,,,,,,A,9,ZLOIC ANTE,,,HECHINGER STR. 21,,,,,,,GERMANY,T†BINGEN,,72072,BADEN-W†RTTEMBERG,,,,+00.000000,-000.000000,N,236220,COMMERCIAL AND INSTITUTIONAL B,,,,,,,,,,,0,0,00,,GRAMAR GMBH,,,GRAMAR D.O.O.,,,,,,,,,,,,366839843,ZLOIC ANTE,366839843,ZLOIC ANTE,000000001135868,000000012,00000000,000912,,,000000000,GRAMAR GMBH,,, 
